Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2009-03-29 17:28:59.000,-79154.114006,14821.869271,-67.901415,40.305530,5972079.681824,2183922.640679,59.99600
2009-03-29 17:28:59.033,-79109.396205,14961.461161,-70.996767,41.640398,6239512.552435,2231931.382298,59.99600
2009-03-29 17:28:59.067,-79085.581854,15059.489262,-72.252224,42.625404,6356025.996634,2282973.286241,59.99400
2009-03-29 17:28:59.100,-79087.860456,15109.563577,-69.669684,42.133819,6146649.870289,2279595.071834,59.99400
2009-03-29 17:28:59.133,-79099.451900,15148.126922,-66.661594,40.787729,5890753.207838,2216488.697974,59.99400
2009-03-29 17:28:59.167,-79097.622284,15212.044578,-65.179689,39.956719,5763381.809509,2168965.120849,59.99600
2009-03-29 17:28:59.200,-79064.520720,15316.894385,-67.082183,40.692372,5927101.413122,2189832.199917,59.99600
2009-03-29 17:28:59.233,-79027.357791,15441.822407,-69.755276,41.939880,6160203.326521,2237249.357888,59.99600
2009-03-29 17:28:59.267,-79001.686028,15540.900964,-71.279415,42.434762,6290668.398426,2244671.374573,59.99500
2009-03-29 17:28:59.300,-78996.204438,15597.830668,-69.736485,42.502706,6171867.627647,2269814.545270,59.99400
2009-03-29 17:28:59.333,-78993.562725,15650.459706,-67.189672,41.322916,5954274.232077,2212695.106050,59.99500
2009-03-29 17:28:59.367,-78987.246742,15722.718982,-66.230972,40.856233,5873773.177371,2185790.432954,59.99500
2009-03-29 17:28:59.400,-78968.343453,15807.813170,-67.262863,41.099818,5961335.141571,2182305.762081,59.99600
2009-03-29 17:28:59.433,-78946.352666,15895.149225,-69.075499,42.001534,6120879.373336,2217902.561099,59.99600
2009-03-29 17:28:59.467,-78930.100180,15973.742536,-69.492759,42.542019,6164625.706217,2247786.414359,59.99500
2009-03-29 17:28:59.500,-78910.789458,16047.553805,-68.842987,42.297684,6111228.801036,2232982.128289,59.99500
2009-03-29 17:28:59.533,-78894.883563,16119.327223,-67.891498,42.417715,6040036.857731,2252175.393781,59.99500
2009-03-29 17:28:59.567,-78886.074939,16201.594844,-67.817551,42.034736,6030890.203610,2217202.840083,59.99500
2009-03-29 17:28:59.600,-78869.040829,16284.907778,-67.918286,42.042718,6041311.845191,2209825.837483,59.99500
2009-03-29 17:28:59.633,-78860.788513,16347.648525,-68.337301,42.212733,6079212.394129,2211775.245786,59.99500
2009-03-29 17:28:59.667,-78847.179105,16424.788501,-68.572885,42.359083,6102517.538280,2213599.055961,59.99500
2009-03-29 17:28:59.700,-78821.816687,16511.966469,-67.943733,42.319224,6054222.115421,2213793.494666,59.99500
2009-03-29 17:28:59.733,-78796.005404,16602.624647,-67.900701,42.726590,6059677.518380,2239354.792774,59.99500
2009-03-29 17:28:59.767,-78779.723070,16686.953779,-68.170770,42.767589,6084135.190689,2231656.304357,59.99500
2009-03-29 17:28:59.800,-78767.865398,16765.043118,-68.932088,42.815861,6147443.201314,2216864.548572,59.99500
2009-03-29 17:28:59.833,-78755.288959,16831.201682,-68.609162,42.825489,6124138.790367,2217959.118963,59.99500
2009-03-29 17:28:59.867,-78749.488602,16892.347264,-67.682088,42.471545,6047373.885040,2201303.150268,59.99500
2009-03-29 17:28:59.900,-78735.924061,16959.021943,-66.527299,42.270994,5954963.100655,2200007.883919,59.99600
2009-03-29 17:28:59.933,-78703.403830,17050.933440,-66.914559,42.719140,5994804.753047,2221186.078676,59.99600
2009-03-29 17:28:59.967,-78673.132049,17156.681302,-68.499588,43.284568,6131696.697930,2230106.967513,59.99500
2009-03-29 17:29:00.000,-78654.745082,17245.449864,-70.410413,43.963996,6296291.980989,2243717.653131,59.99500
2009-03-29 17:29:00.033,-78641.257203,17319.038038,-69.658833,43.740965,6235609.669994,2233420.512363,59.99500
2009-03-29 17:29:00.067,-78643.692904,17366.640993,-66.771202,42.604330,5991027.984549,2190970.369701,59.99500
2009-03-29 17:29:00.100,-78638.808977,17427.468498,-65.221224,42.082334,5862307.941071,2172663.755113,59.99600
2009-03-29 17:29:00.133,-78610.969051,17517.619874,-65.786511,42.693535,5919430.502712,2203757.063876,59.99600
2009-03-29 17:29:00.167,-78568.507488,17634.722045,-68.470646,44.030312,6156098.788629,2251935.087610,59.99500
2009-03-29 17:29:00.200,-78537.889852,17744.510807,-70.760388,44.532776,6347583.906863,2241901.765678,59.99500
2009-03-29 17:29:00.233,-78522.633335,17824.916534,-70.108611,44.493822,6298211.402322,2244091.944729,59.99400
2009-03-29 17:29:00.267,-78527.104718,17877.965679,-66.987903,43.126755,6031384.731017,2189011.754812,59.99400
2009-03-29 17:29:00.300,-78530.781223,17925.951191,-64.136350,42.380934,5796396.234505,2178502.739389,59.99500
2009-03-29 17:29:00.333,-78510.447670,17998.022546,-64.794865,42.584938,5853518.512560,2177183.128945,59.99600
2009-03-29 17:29:00.367,-78469.758999,18106.362226,-68.085565,44.248235,6143832.438947,2239366.415463,59.99600
2009-03-29 17:29:00.400,-78418.642212,18239.500396,-70.829127,45.650981,6386975.038739,2288000.094909,59.99500
2009-03-29 17:29:00.433,-78396.888455,18331.678753,-70.521591,45.389032,6360730.446700,2265579.710042,59.99400
2009-03-29 17:29:00.467,-78409.566114,18368.564730,-67.525400,43.902295,6101059.440647,2202015.185538,59.99400
2009-03-29 17:29:00.500,-78429.048430,18382.947991,-63.597835,42.291910,5765367.687111,2147798.580081,59.99500
